name,category,address,lat,lon
Escola Josep Maria Jujol,Escola,C Riera de Sant Miquel 39,41.398,2.156
Centre Cívic Casinet d'Hostafrancs,Centre,Carrer del Rector Triadó 53,41.378,2.143
Portal Casa Miralles,otro,Pg Manuel Girona 55,41.392,2.127
Disseny Hub Barcelona,otro,Plaça de les Glòries Catalanes 37,41.403,2.188
Masia de Can Baró,otro,Pl Can Baró 1,41.417,2.162
Pla de Montbau,otro,Pla Montbau 6,41.431,2.143
Cases Francesc Farreras,otro,G.V. Corts Catalanes 536,41.383,2.16
Casa Pomar,otro,C Girona 86,41.396,2.17
Parròquia de Sant Ramon Nonat,Parròquia,Av Sant Ramon Nonat 1,41.376,2.117
Base Nàutica Municipal de la Mar Bella,otro,Pg Marítim del Bogatell 102,41.397,2.21
Institut Vila de Gràcia,otro,C Riera de Sant Miquel 58,41.399,2.155
Pavelló de la República,otro,C Jorge Manrique 9,41.431,2.151
Alberg InOut  AJ000427,otro,C Major del Rectoret 2,41.422,2.102
Institut del Teatre,otro,Pl Margarida Xirgu 1,41.371,2.157
Edifici Patronat Ribas,otro,Pg Vall d'Hebron 93,41.423,2.141
Monument a Cristòfol Colom,otro,Plaça del Portal de la Pau 1,41.376,2.176
Escultura Josep Anselm Clavé,otro,Pg Sant Joan 198,41.404,2.164
Facultat de Dret  UB,otro,Av Diagonal 684,41.387,2.121
Carrer Grau,otro,C Grau 47,41.439,2.188
Carrer Manigua,otro,C Garcilaso 200,41.424,2.18
Carrer Matanzas,otro,C Matanzas 40,41.423,2.182
Menjadors populars del carrer Gran Sant Andreu Guerra Civil,otro,C Gran de Sant Andreu 176,41.433,2.189
Centre Cívic Tomasa Cuevas  Les Corts,Centre,Carrer de Dolors Masferrer i Bosch 33,41.385,2.128
Fàbrica de Creació Hangar,otro,C Emília Coranty 8,41.409,2.199
Museu de Ciències Naturals de Barcelona,Museu,Plaça de Leonardo da Vinci 4,41.411,2.22
Centre Comercial Westfield Glòries,Centre,Av Diagonal 208,41.405,2.193
Fundació Barcelona Media  Centre d'Innovació,Centre,Av Diagonal 177,41.404,2.194
Jardins de la Tamarita,Jardins,Pg Sant Gervasi 47,41.411,2.135
El Clot,otro,Pl Font i Sagué 2,41.408,2.188
Facultat de Psicologia i Ciències de l'Educació i de l'Esport Blanquerna  URL,otro,Císter 34,41.412,2.133
El nucli de Santa Eulàlia de Vilapicina,otro,C Pere d'Artés 1,41.431,2.173
Can Peguera,otro,Pl Sant Francesc Xavier 12,41.434,2.165
La vila de Gràcia,otro,Pl Virreina 2,41.405,2.158
Ca l'Aranyó,otro,C Roc Boronat 150,41.404,2.193
El barri de la Clota,otro,C Capcir 2,41.427,2.151
Casa Almirall,otro,C Joaquín Costa 33,41.382,2.166
Plaça de les Dones del 36,otro,Pl Dones del 36 1,41.405,2.154
Hort Urbà Masia Can Mestres *Tancat,otro,Camí Can Clos 1,41.36,2.145
Facultat de Comunicació i Relacions Internacionals Blanquerna  URL,otro,Plaça de Joan Coromines 1,41.384,2.166
Torre Glòries,otro,Av Diagonal 209,41.403,2.19
Parc del Poblenou,Parc,Av Litoral 59,41.397,2.207
Centre Educatiu Vedruna Gràcia Barcelona,Centre,C Gran de Gràcia 234,41.405,2.151
Biblioteca Montserrat Abelló,otro,Carrer dels Comtes de Belllloc 192,41.384,2.135
Museu Frederic Marès,Museu,Plaça de Sant Iu 5,41.384,2.177
