date,sound_level_mean,lat,lon
2019-07-06,70.44,41.375,2.167
2019-07-07,70.13,41.375,2.167
2019-07-08,70.78,41.375,2.167
2019-07-09,70.67,41.375,2.167
2019-07-10,70.86,41.375,2.167
2019-07-11,71.28,41.375,2.167
2019-07-12,71.65,41.375,2.167
2019-07-13,70.49,41.375,2.167
2019-07-14,69.97,41.375,2.167
2019-07-15,71.05,41.375,2.167
2019-07-16,70.08,41.375,2.167
2019-07-17,71.01,41.375,2.167
2019-07-18,70.48,41.375,2.167
2019-07-19,71.49,41.375,2.167
2019-07-20,70.9,41.375,2.167
2019-07-21,70.44,41.375,2.167
2019-07-22,71.82,41.375,2.167
2019-07-23,71.2,41.375,2.167
2019-07-24,70.88,41.375,2.167
2019-07-25,71.64,41.375,2.167
2019-07-26,71.19,41.375,2.167
2019-07-27,70.86,41.375,2.167
2019-07-28,70.11,41.375,2.167
2019-07-29,70.74,41.375,2.167
2019-07-30,70.95,41.375,2.167
2019-07-31,70.42,41.375,2.167
2019-08-01,70.85,41.375,2.167
2019-08-02,70.55,41.375,2.167
2019-08-03,69.9,41.375,2.167
2019-08-04,69.57,41.375,2.167
2019-08-05,69.99,41.375,2.167
2019-08-06,70.11,41.375,2.167
2019-08-07,71.8,41.375,2.167
2019-08-08,71.95,41.375,2.167
2019-08-09,71.15,41.375,2.167
2019-08-10,71.03,41.375,2.167
2019-08-11,70.18,41.375,2.167
2019-08-12,70.92,41.375,2.167
2019-08-13,69.85,41.375,2.167
2019-08-14,70.35,41.375,2.167
2019-08-15,69.44,41.375,2.167
2019-08-16,70.78,41.375,2.167
2019-08-17,70.56,41.375,2.167
2019-08-18,69.67,41.375,2.167
2019-08-19,70.52,41.375,2.167
2019-08-20,70.08,41.375,2.167
2019-08-21,69.97,41.375,2.167
2019-08-22,70.24,41.375,2.167
2019-08-23,70.56,41.375,2.167
2019-08-24,70.25,41.375,2.167
2019-08-25,69.75,41.375,2.167
2019-08-26,70.43,41.375,2.167
2019-08-27,71.02,41.375,2.167
2019-08-28,70.41,41.375,2.167
2019-08-29,70.37,41.375,2.167
2019-08-30,70.33,41.375,2.167
2019-08-31,70.64,41.375,2.167
2019-09-01,69.5,41.375,2.167
2019-09-02,70.25,41.375,2.167
2019-09-03,70.89,41.375,2.167
2019-09-04,70.68,41.375,2.167
2019-09-05,70.6,41.375,2.167
2019-09-06,70.62,41.375,2.167
2019-09-07,70.37,41.375,2.167
2019-09-08,70.26,41.375,2.167
2019-09-09,71.3,41.375,2.167
2019-09-10,72.89,41.375,2.167
2019-09-11,71.06,41.375,2.167
